Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
7.131716000,0,0,0,0,0,0,0,0
7.131733000,0,0,0,1,0,0,0,0
7.131760000,0,0,0,0,0,0,0,0
7.131777000,0,0,0,1,0,0,0,0
7.131786000,0,0,0,0,0,0,0,0
7.131794000,0,0,0,1,0,0,0,0
7.131803000,0,0,0,0,0,0,0,0
7.131829000,0,0,0,1,0,0,0,0
7.131838000,0,0,0,0,0,0,0,0
7.131864000,0,0,0,1,0,0,0,0
7.131872000,0,0,0,0,0,0,0,0
7.131881000,0,0,0,1,0,0,0,0
7.131890000,0,0,0,0,0,0,0,0
7.131899000,0,0,0,1,0,0,0,0
7.131925000,0,0,0,0,0,0,0,0
7.131951000,0,0,0,1,0,0,0,0
7.131959000,0,0,0,0,0,0,0,0
7.131968000,0,0,0,1,0,0,0,0
7.131977000,0,0,0,0,0,0,0,0
7.131985000,0,0,0,1,0,0,0,0
7.131994000,0,0,0,0,0,0,0,0
7.132038000,0,0,0,1,0,0,0,0
7.132046000,0,0,0,0,0,0,0,0
7.132055000,0,0,0,1,0,0,0,0
7.132064000,0,0,0,0,0,0,0,0
7.132081000,0,0,0,1,0,0,0,0
7.132090000,0,0,0,0,0,0,0,0
7.132107000,0,0,0,1,0,0,0,0
7.132116000,0,0,0,0,0,0,0,0
7.132124000,0,0,0,1,0,0,0,0
7.132133000,0,0,0,0,0,0,0,0
7.132142000,0,0,0,1,0,0,0,0
7.132150000,0,0,0,0,0,0,0,0
7.132177000,0,0,0,1,0,0,0,0
7.132185000,0,0,0,0,0,0,0,0
7.132211000,0,0,0,1,0,0,0,0
7.132220000,0,0,0,0,0,0,0,0
7.132229000,0,0,0,1,0,0,0,0
7.132237000,0,0,0,0,0,0,0,0
7.132246000,0,0,0,1,0,0,0,0
7.132255000,0,0,0,0,0,0,0,0
7.132263000,0,0,0,1,0,0,0,0
7.132281000,0,0,0,0,0,0,0,0
7.132289000,0,0,0,1,0,0,0,0
7.132298000,0,0,0,0,0,0,0,0
7.132316000,0,0,0,1,0,0,0,0
7.132324000,0,0,0,0,0,0,0,0
7.132333000,0,0,0,1,0,0,0,0
7.132359000,0,0,0,0,0,0,0,0
7.132385000,0,0,0,1,0,0,0,0
7.132394000,0,0,0,0,0,0,0,0
7.132402000,0,0,0,1,0,0,0,0
7.132411000,0,0,0,0,0,0,0,0
7.132455000,0,0,0,1,0,0,0,0
7.132463000,0,0,0,0,0,0,0,0
7.132472000,0,0,0,1,0,0,0,0
7.132481000,0,0,0,0,0,0,0,0
7.132489000,0,0,0,1,0,0,0,0
7.132498000,0,0,0,0,0,0,0,0
7.132507000,0,0,0,1,0,0,0,0
7.132515000,0,0,0,0,0,0,0,0
7.132533000,0,0,0,1,0,0,0,0
7.132541000,0,0,0,0,0,0,0,0
7.132559000,0,0,0,1,0,0,0,0
7.132567000,0,0,0,0,0,0,0,0
7.132576000,0,0,0,1,0,0,0,0
7.132585000,0,0,0,0,0,0,0,0
7.132594000,0,0,0,1,0,0,0,0
7.132628000,0,0,0,0,0,0,0,0
7.132646000,0,0,0,1,0,0,0,0
7.132654000,0,0,0,0,0,0,0,0
7.132663000,0,0,0,1,0,0,0,0
7.132672000,0,0,0,0,0,0,0,0
7.132680000,0,0,0,1,0,0,0,0
7.132689000,0,0,0,0,0,0,0,0
7.132698000,0,0,0,1,0,0,0,0
7.132715000,0,0,0,0,0,0,0,0
7.132724000,0,0,0,1,0,0,0,0
7.132733000,0,0,0,0,0,0,0,0
7.132750000,0,0,0,1,0,0,0,0
7.132759000,0,0,0,0,0,0,0,0
7.132785000,0,0,0,1,0,0,0,0
7.132802000,0,0,0,0,0,0,0,0
7.132819000,0,0,0,1,0,0,0,0
7.132828000,0,0,0,0,0,0,0,0
7.132837000,0,0,0,1,0,0,0,0
7.132845000,0,0,0,0,0,0,0,0
7.132854000,0,0,0,1,0,0,0,0
7.132889000,0,0,0,0,0,0,0,0
7.132906000,0,0,0,1,0,0,0,0
7.132915000,0,0,0,0,0,0,0,0
7.132924000,0,0,0,1,0,0,0,0
7.132932000,0,0,0,0,0,0,0,0
7.132941000,0,0,0,1,0,0,0,0
7.132976000,0,0,0,0,0,0,0,0
7.132993000,0,0,0,1,0,0,0,0
7.133002000,0,0,0,0,0,0,0,0
7.133011000,0,0,0,1,0,0,0,0
7.133019000,0,0,0,0,0,0,0,0
7.133063000,0,0,0,1,0,0,0,0
7.133071000,0,0,0,0,0,0,0,0
7.133080000,0,0,0,1,0,0,0,0
7.133089000,0,0,0,0,0,0,0,0
7.133097000,0,0,0,1,0,0,0,0
7.133106000,0,0,0,0,0,0,0,0
7.133123000,0,0,0,1,0,0,0,0
7.133132000,0,0,0,0,0,0,0,0
7.133167000,0,0,0,1,0,0,0,0
7.133176000,0,0,0,0,0,0,0,0
7.133184000,0,0,0,1,0,0,0,0
7.133193000,0,0,0,0,0,0,0,0
7.133202000,0,0,0,1,0,0,0,0
7.133210000,0,0,0,0,0,0,0,0
7.133254000,0,0,0,1,0,0,0,0
7.133262000,0,0,0,0,0,0,0,0
7.133271000,0,0,0,1,0,0,0,0
7.133280000,0,0,0,0,0,0,0,0
7.133289000,0,0,0,1,0,0,0,0
7.133306000,0,0,0,0,0,0,0,0
7.133341000,0,0,0,1,0,0,0,0
7.133349000,0,0,0,0,0,0,0,0
7.133358000,0,0,0,1,0,0,0,0
7.133367000,0,0,0,0,0,0,0,0
7.133375000,0,0,0,1,0,0,0,0
7.133393000,0,0,0,0,0,0,0,0
7.133401000,0,0,0,1,0,0,0,0
7.133410000,0,0,0,0,0,0,0,0
7.133428000,0,0,0,1,0,0,0,0
7.133436000,0,0,0,0,0,0,0,0
7.133445000,0,0,0,1,0,0,0,0
7.133454000,0,0,0,0,0,0,0,0
7.133462000,0,0,0,1,0,0,0,0
7.133471000,0,0,0,0,0,0,0,0
7.133480000,0,0,0,1,0,0,0,0
7.133497000,0,0,0,0,0,0,0,0
7.133506000,0,0,0,1,0,0,0,0
7.133514000,0,0,0,0,0,0,0,0
7.133532000,0,0,0,1,0,0,0,0
7.133540000,0,0,0,0,0,0,0,0
7.133584000,0,0,0,1,0,0,0,0
7.133601000,0,0,0,0,0,0,0,0
7.133619000,0,0,0,1,0,0,0,0
7.133627000,0,0,0,0,0,0,0,0
7.133636000,0,0,0,1,0,0,0,0
7.133645000,0,0,0,0,0,0,0,0
7.133671000,0,0,0,1,0,0,0,0
7.133688000,0,0,0,0,0,0,0,0
7.133706000,0,0,0,1,0,0,0,0
7.133714000,0,0,0,0,0,0,0,0
7.133732000,0,0,0,1,0,0,0,0
7.133740000,0,0,0,0,0,0,0,0
7.133758000,0,0,0,1,0,0,0,0
7.133775000,0,0,0,0,0,0,0,0
7.133792000,0,0,0,1,0,0,0,0
7.133801000,0,0,0,0,0,0,0,0
7.133810000,0,0,0,1,0,0,0,0
7.133827000,0,0,0,0,0,0,0,0
7.133845000,0,0,0,1,0,0,0,0
7.133862000,0,0,0,0,0,0,0,0
7.133879000,0,0,0,1,0,0,0,0
7.133888000,0,0,0,0,0,0,0,0
7.133914000,0,0,0,1,0,0,0,0
7.133923000,0,0,0,0,0,0,0,0
7.133931000,0,0,0,1,0,0,0,0
7.133949000,0,0,0,0,0,0,0,0
7.133966000,0,0,0,1,0,0,0,0
7.133975000,0,0,0,0,0,0,0,0
7.133984000,0,0,0,1,0,0,0,0
7.133992000,0,0,0,0,0,0,0,0
7.134001000,0,0,0,1,0,0,0,0
7.134010000,0,0,0,0,0,0,0,0
7.134018000,0,0,0,1,0,0,0,0
7.134036000,0,0,0,0,0,0,0,0
7.134053000,0,0,0,1,0,0,0,0
7.134062000,0,0,0,0,0,0,0,0
7.134079000,0,0,0,1,0,0,0,0
7.134096000,0,0,0,0,0,0,0,0
7.134105000,0,0,0,1,0,0,0,0
7.134123000,0,0,0,0,0,0,0,0
7.134140000,0,0,0,1,0,0,0,0
7.134149000,0,0,0,0,0,0,0,0
7.134157000,0,0,0,1,0,0,0,0
7.134183000,0,0,0,0,0,0,0,0
7.134192000,0,0,0,1,0,0,0,0
7.134209000,0,0,0,0,0,0,0,0
7.134227000,0,0,0,1,0,0,0,0
7.134235000,0,0,0,0,0,0,0,0
7.134270000,0,0,0,1,0,0,0,0
7.134296000,0,0,0,0,0,0,0,0
7.134314000,0,0,0,1,0,0,0,0
7.134322000,0,0,0,0,0,0,0,0
7.134331000,0,0,0,1,0,0,0,0
7.134340000,0,0,0,0,0,0,0,0
7.134357000,0,0,0,1,0,0,0,0
7.134383000,0,0,0,0,0,0,0,0
7.134401000,0,0,0,1,0,0,0,0
7.330540000,0,0,0,0,0,0,0,0
7.330548000,0,0,0,1,0,0,0,0
7.330557000,0,0,0,0,0,0,0,0
7.330566000,0,0,0,1,0,0,0,0
